sort_id,cluster_id,n_cached_windows,n_valid_dev_pairs,n_stable_pairs,n_failing_pairs,status,start_s,end_s,span_s,reference_end_s,failing_start_s,reference_missing_pct,failing_missing_pct,difference_pp,intervening_windows,dev_interval_index,source_rows,nominal_samples_in_four_fits,historical_samples_in_four_fits,fitted_window_duration_s,KSLabel,ContamPct,source_voltage_exists,template_file_exists
legacy_luke0804_v2v1_g0_imec0,500,259,58.0,4.0,26.0,qualifying_transition,5238.497773376948,5370.578895494101,132.08112211715252,5292.04146611234,5313.760884857278,1.5556013812201137,36.1168033381173,34.561201956897186,1.0,4.0,"[24780, 24781, 24783, 24784]",4000.0,3996.0,110.33976991896634,mua,44.9,False,True
rescue_luke0804_v2v1_g0_imec0,66,81,32.0,10.0,2.0,qualifying_transition,7663.196363081929,8000.5906076920255,337.3942446100964,7808.706825286967,7808.708858631417,3.4792098646627156,18.157618016897636,14.67840815223492,0.0,5.0,"[2612, 2613, 2614, 2615]",4000.0,3996.0,337.38087787035147,mua,45.2,True,True
legacy_luke0804_v2v1_g0_imec0,40,113,65.0,34.0,2.0,qualifying_transition,7161.56758723144,7403.639377358939,242.0717901274993,7228.599920378923,7274.088535742065,0.40795931091852317,34.27992314870484,33.87196383778632,1.0,5.0,"[3111, 3112, 3114, 3115]",4000.0,3996.0,196.1017387989068,mua,48.9,False,True
rescue_luke0804_v2v1_g0_imec0,629,175,18.0,3.0,2.0,qualifying_transition,5932.175165867016,6802.229455982521,870.054290115505,5964.771177410064,6740.286650660629,0.6478058060545875,31.11832656315398,30.47052075709939,21.0,5.0,"[19169, 19170, 19192, 19193]",4000.0,3996.0,94.52881681026884,mua,50.0,True,True
rescue_luke0804_v2v1_g0_imec0,659,229,70.0,21.0,19.0,qualifying_transition,6965.71581646583,7217.148191103081,251.4323746372511,7066.887536261007,7172.802481988465,2.1096343966112086,42.031464857815436,39.92183046120423,4.0,5.0,"[22350, 22351, 22356, 22357]",4000.0,3996.0,145.49699546474403,mua,52.0,True,True
rescue_luke0804_v2v1_g0_imec0,624,51,13.0,3.0,2.0,qualifying_transition,1652.7873028259792,1912.5435229715624,259.75622014558326,1755.4800309368495,1755.6637986082155,4.004144941993805,21.723924468212417,17.719779526218613,0.0,1.0,"[18612, 18613, 18614, 18615]",4000.0,3996.0,259.52341887280613,mua,52.5,True,True
legacy_luke0804_v2v1_g0_imec0,513,366,89.0,9.0,36.0,qualifying_transition,6806.02004337318,6872.760474924772,66.74043155159234,6833.304725878,6833.308125896588,3.7781041008695806,23.842773726238843,20.064669625369262,0.0,5.0,"[27149, 27150, 27151, 27152]",4000.0,3996.0,66.69253128971195,mua,52.9,False,True
rescue_luke0804_v2v1_g0_imec0,655,192,29.0,3.0,10.0,qualifying_transition,3805.2555041862993,4004.126291457549,198.8707872712498,3919.8337972782224,3919.882064208775,0.014652355384079151,18.53993336822905,18.52528101284497,0.0,3.0,"[21590, 21591, 21592, 21593]",4000.0,3996.0,198.76652003453137,mua,53.2,True,True
legacy_luke0804_v2v1_g0_imec0,391,149,57.0,14.0,23.0,qualifying_transition,7139.37349922471,7414.806671746378,275.433172521668,7239.912515560754,7285.267396859408,0.208941616658372,32.82975828974088,32.62081667308251,1.0,5.0,"[17851, 17852, 17854, 17855]",4000.0,3996.0,230.01859089661957,mua,54.3,False,True
rescue_luke0804_v2v1_g0_imec0,678,118,57.0,8.0,34.0,qualifying_transition,6540.856126995841,6794.78171526405,253.92558826820914,6653.236308070192,6730.955899647318,0.7568358811319873,18.706878252332313,17.950042371200325,2.0,5.0,"[23899, 23900, 23903, 23904]",4000.0,3996.0,176.1702298288701,mua,54.6,True,True
