sort_id,cluster_id,n_cached_windows,n_valid_dev_pairs,n_stable_pairs,n_failing_pairs,status,start_s,end_s,span_s,reference_end_s,failing_start_s,reference_missing_pct,failing_missing_pct,difference_pp,intervening_windows,dev_interval_index,source_rows,nominal_samples_in_four_fits,historical_samples_in_four_fits,fitted_window_duration_s,KSLabel,ContamPct,source_voltage_exists,template_file_exists
rescue_luke0804_v2v1_g0_imec0,0,0,0.0,0.0,0.0,no_cached_windows,,,,,,,,,,,,,,,good,0.0,True,True
rescue_luke0804_v2v1_g0_imec0,1,4,0.0,0.0,0.0,no_valid_dev_pair,,,,,,,,,,,,,,,mua,45.2,True,True
rescue_luke0804_v2v1_g0_imec0,2,14,4.0,4.0,0.0,no_deteriorated_pair,,,,,,,,,,,,,,,mua,21.8,True,True
rescue_luke0804_v2v1_g0_imec0,3,3,0.0,0.0,0.0,no_valid_dev_pair,,,,,,,,,,,,,,,mua,25.4,True,True
rescue_luke0804_v2v1_g0_imec0,4,23,0.0,0.0,0.0,no_valid_dev_pair,,,,,,,,,,,,,,,mua,63.9,True,True
rescue_luke0804_v2v1_g0_imec0,5,66,31.0,18.0,0.0,no_deteriorated_pair,,,,,,,,,,,,,,,good,3.5,True,True
rescue_luke0804_v2v1_g0_imec0,6,405,0.0,0.0,0.0,no_valid_dev_pair,,,,,,,,,,,,,,,mua,124.4,True,True
rescue_luke0804_v2v1_g0_imec0,7,19,5.0,0.0,2.0,no_stable_pair,,,,,,,,,,,,,,,mua,26.0,True,True
rescue_luke0804_v2v1_g0_imec0,8,0,0.0,0.0,0.0,no_cached_windows,,,,,,,,,,,,,,,mua,36.2,True,True
rescue_luke0804_v2v1_g0_imec0,9,0,0.0,0.0,0.0,no_cached_windows,,,,,,,,,,,,,,,mua,181.8,True,True
rescue_luke0804_v2v1_g0_imec0,10,0,0.0,0.0,0.0,no_cached_windows,,,,,,,,,,,,,,,good,1.9,True,True
rescue_luke0804_v2v1_g0_imec0,11,387,28.0,0.0,25.0,no_stable_pair,,,,,,,,,,,,,,,mua,135.9,True,True
rescue_luke0804_v2v1_g0_imec0,12,17,4.0,0.0,4.0,no_stable_pair,,,,,,,,,,,,,,,mua,46.2,True,True
rescue_luke0804_v2v1_g0_imec0,13,7,5.0,5.0,0.0,no_deteriorated_pair,,,,,,,,,,,,,,,good,3.2,True,True
rescue_luke0804_v2v1_g0_imec0,14,0,0.0,0.0,0.0,no_cached_windows,,,,,,,,,,,,,,,mua,40.2,True,True
rescue_luke0804_v2v1_g0_imec0,15,0,0.0,0.0,0.0,no_cached_windows,,,,,,,,,,,,,,,good,0.0,True,True
rescue_luke0804_v2v1_g0_imec0,16,1,0.0,0.0,0.0,no_valid_dev_pair,,,,,,,,,,,,,,,good,1.7,True,True
rescue_luke0804_v2v1_g0_imec0,17,0,0.0,0.0,0.0,no_cached_windows,,,,,,,,,,,,,,,good,13.7,True,True
rescue_luke0804_v2v1_g0_imec0,18,34,19.0,12.0,0.0,no_deteriorated_pair,,,,,,,,,,,,,,,good,8.0,True,True
rescue_luke0804_v2v1_g0_imec0,19,28,10.0,10.0,0.0,no_deteriorated_pair,,,,,,,,,,,,,,,good,1.1,True,True
rescue_luke0804_v2v1_g0_imec0,20,14,4.0,0.0,0.0,no_stable_pair,,,,,,,,,,,,,,,good,18.8,True,True
rescue_luke0804_v2v1_g0_imec0,21,27,13.0,4.0,4.0,qualifying_transition,6656.5524262001545,6949.296826699527,292.7444004993722,6795.794054132068,6795.79975416323,1.0545488097196576,20.570035278688852,19.515486468969193,0.0,5.0,"[1034, 1035, 1036, 1037]",4000.0,3996.0,292.6020997213818,good,8.4,True,True
rescue_luke0804_v2v1_g0_imec0,22,0,0.0,0.0,0.0,no_cached_windows,,,,,,,,,,,,,,,mua,500.0,True,True
rescue_luke0804_v2v1_g0_imec0,23,0,0.0,0.0,0.0,no_cached_windows,,,,,,,,,,,,,,,good,0.0,True,True
rescue_luke0804_v2v1_g0_imec0,24,14,7.0,6.0,0.0,no_deteriorated_pair,,,,,,,,,,,,,,,mua,64.7,True,True
rescue_luke0804_v2v1_g0_imec0,25,48,13.0,1.0,3.0,no_ordered_pair_in_same_dev_interval,,,,,,,,,,,,,,,mua,31.9,True,True
rescue_luke0804_v2v1_g0_imec0,26,1,0.0,0.0,0.0,no_valid_dev_pair,,,,,,,,,,,,,,,good,0.8,True,True
rescue_luke0804_v2v1_g0_imec0,27,0,0.0,0.0,0.0,no_cached_windows,,,,,,,,,,,,,,,mua,500.0,True,True
rescue_luke0804_v2v1_g0_imec0,28,270,1.0,0.0,1.0,no_stable_pair,,,,,,,,,,,,,,,mua,137.1,True,True
rescue_luke0804_v2v1_g0_imec0,29,0,0.0,0.0,0.0,no_cached_windows,,,,,,,,,,,,,,,good,3.0,True,True
rescue_luke0804_v2v1_g0_imec0,30,12,5.0,3.0,0.0,no_deteriorated_pair,,,,,,,,,,,,,,,mua,80.9,True,True
rescue_luke0804_v2v1_g0_imec0,31,0,0.0,0.0,0.0,no_cached_windows,,,,,,,,,,,,,,,mua,134.8,True,True
